ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1960-01-01,-0.34984423232144946,-0.9246419937536694,0.2189718669912005,-0.34984423232144946,-0.34984423232144946,0.0,0.0,0.0,0.0,0.0,0.0,-0.34984423232144946
1961-01-01,-0.31845897401848317,-0.8941697960963385,0.254149231754929,-0.31845897401848317,-0.31845897401848317,0.0,0.0,0.0,0.0,0.0,0.0,-0.31845897401848317
1962-01-01,-0.2871594677873829,-0.8851115440023266,0.25811327698119496,-0.2871594677873829,-0.2871594677873829,0.0,0.0,0.0,0.0,0.0,0.0,-0.2871594677873829
1963-01-01,-0.25585996154719354,-0.7796347048061111,0.3006799890819634,-0.25585996154719354,-0.25585996154719354,0.0,0.0,0.0,0.0,0.0,0.0,-0.25585996154719354
1964-01-01,-0.2245604553070041,-0.7639949786504938,0.34310906910019207,-0.2245604553070041,-0.2245604553070041,0.0,0.0,0.0,0.0,0.0,0.0,-0.2245604553070041
1965-01-01,-0.19317519699235242,-0.7816858882997118,0.4065237307966168,-0.19317519699235242,-0.19317519699235242,0.0,0.0,0.0,0.0,0.0,0.0,-0.19317519699235242
1966-01-01,-0.16187569074959873,-0.7656421737661846,0.4051958842277518,-0.16187569074959873,-0.16187569074959873,0.0,0.0,0.0,0.0,0.0,0.0,-0.16187569074959873
1967-01-01,-0.13057618449650898,-0.7432831311365962,0.4490281748797302,-0.13057618449650898,-0.13057618449650898,0.0,0.0,0.0,0.0,0.0,0.0,-0.13057618449650898
1968-01-01,-0.09927667824341928,-0.7084623958145387,0.4597072549458592,-0.09927667824341928,-0.09927667824341928,0.0,0.0,0.0,0.0,0.0,0.0,-0.09927667824341928
1969-01-01,-0.067891419904379,-0.6309686798687897,0.4797617198779658,-0.067891419904379,-0.067891419904379,0.0,0.0,0.0,0.0,0.0,0.0,-0.067891419904379
